year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2006,111000,6,0.0,bmw,4wd,blue,5950,0.0
2006,121048,8,0.0,mercedes,rwd,black,13995,0.0
2010,164000,4,0.0,nissan,fwd,NaN,5950,0.0
2015,81828,NaN,0.0,infiniti,NaN,NaN,NaN,0.0
2011,407000,4,0.0,ford,rwd,grey,5900,0.0
2018,46000,4,0.0,honda,fwd,grey,13900,0.0
2017,60111,NaN,0.0,ford,NaN,NaN,15900,1.0
2017,27000,6,0.0,ford,fwd,white,39900,0.0
2007,125000,4,0.0,honda,fwd,blue,7500,0.0
2019,130138,NaN,0.0,toyota,fwd,black,NaN,0.0
2008,158873,4,0.0,honda,fwd,grey,7950,0.0
2003,135000,8,0.0,NaN,4wd,white,16500,0.0
2016,80000,8,0.0,NaN,rwd,silver,23000,0.0
2010,77000,8,0.0,audi,4wd,grey,13000,1.0
2022,17777,NaN,1.0,tesla,rwd,NaN,44999,1.0
2013,182721,8,0.0,toyota,4wd,black,19995,0.0
2020,30157,4,0.0,mazda,fwd,NaN,25995,0.0
2012,128766,6,0.0,infiniti,rwd,NaN,11775,0.0
2019,20614,4,0.0,volvo,NaN,black,38995,0.0
2013,124830,6,0.0,chrysler,rwd,NaN,12995,0.0
2012,141660,6,0.0,acura,NaN,silver,11995,0.0
2009,135836,6,0.0,nissan,NaN,silver,8995,0.0
2015,110976,6,0.0,toyota,NaN,NaN,25991,0.0
2004,152448,6,0.0,toyota,fwd,NaN,7775,0.0
2003,142785,4,0.0,NaN,fwd,silver,4499,0.0
2017,136013,NaN,0.0,nissan,fwd,black,NaN,0.0
2010,57150,8,0.0,toyota,4wd,brown,25800,0.0
2011,147000,6,0.0,honda,4wd,NaN,9999,0.0
1995,200000,NaN,0.0,for,NaN,NaN,30000,1.0
2015,86000,NaN,0.0,NaN,NaN,NaN,45000,0.0
1995,220000,4,0.0,NaN,NaN,NaN,2200,0.0
2016,126926,NaN,0.0,honda,fwd,black,NaN,0.0
2020,39901,NaN,1.0,tesla,4wd,grey,45000,0.0
1993,137679,6,0.0,nissan,fwd,NaN,8995,0.0
2013,113173,NaN,0.0,audi,NaN,black,NaN,0.0
2017,53000,4,0.0,honda,NaN,white,14800,0.0
2006,97000,NaN,1.0,ford,NaN,NaN,12999,0.0
2000,152000,NaN,0.0,ford,NaN,NaN,17999,0.0
2007,67799,6,0.0,toyota,4wd,silver,22500,0.0
2006,223688,6,0.0,toyota,rwd,silver,11000,0.0
2019,16886,4,0.0,NaN,4wd,silver,38989,0.0
2020,17312,6,0.0,NaN,4wd,black,37967,0.0
2020,138324,4,0.0,toyota,fwd,white,14999,0.0
2014,93596,8,0.0,ram,4wd,white,26495,0.0
2007,55542,NaN,0.0,infiniti,NaN,NaN,9750,0.0
2018,50372,4,0.0,ford,fwd,NaN,14995,0.0
