year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2008.0,258000.0,6.0,0.0,toyota,rwd,,7800.0,0.0
2009.0,97500.0,4.0,0.0,toyota,fwd,silver,7700.0,0.0
2000.0,45000.0,4.0,0.0,gmc,rwd,blue,2800.0,1.0
2000.0,150000.0,,0.0,,,,3900.0,0.0
2006.0,195000.0,,0.0,,,,9500.0,0.0
2017.0,167000.0,4.0,0.0,hyundai,,white,8900.0,0.0
2014.0,203000.0,4.0,0.0,honda,fwd,silver,9975.0,0.0
2011.0,155000.0,,0.0,ford,,,6900.0,0.0
2014.0,134457.0,4.0,0.0,honda,fwd,,129.0,0.0
2015.0,116197.0,,1.0,jeep,4wd,silver,,0.0
2017.0,58602.0,,1.0,tesla,,,49950.0,0.0
1934.0,122.0,,0.0,,,,29500.0,0.0
2010.0,214737.0,6.0,0.0,nissan,,,5995.0,0.0
2002.0,123000.0,8.0,0.0,land,4wd,black,17999.0,0.0
2017.0,78000.0,6.0,0.0,,fwd,green,20200.0,0.0
2006.0,114000.0,4.0,0.0,subaru,4wd,grey,3000.0,1.0
1993.0,94134.0,,0.0,cadillac,,white,,0.0
2009.0,145000.0,4.0,0.0,honda,fwd,purple,14000.0,0.0
2009.0,69814.0,4.0,0.0,,fwd,black,6930.0,0.0
2012.0,144600.0,4.0,0.0,audi,4wd,brown,11000.0,0.0
1999.0,248600.0,6.0,0.0,toyota,4wd,brown,7500.0,1.0
2004.0,181000.0,,0.0,subaru,,blue,11000.0,0.0
2020.0,51240.0,,0.0,toyota,,,19000.0,0.0
2013.0,108000.0,,0.0,land,4wd,,26500.0,0.0
2004.0,118000.0,8.0,0.0,,4wd,yellow,15600.0,0.0
2012.0,44000.0,4.0,0.0,subaru,4wd,white,27900.0,1.0
2000.0,202000.0,6.0,0.0,ford,4wd,grey,6200.0,0.0
2019.0,117000.0,4.0,1.0,,fwd,custom,16900.0,0.0
2014.0,72542.0,6.0,0.0,ford,fwd,black,,0.0
2011.0,62940.0,,0.0,,,,12990.0,0.0
2017.0,66451.0,,0.0,ford,rwd,grey,,0.0
2014.0,203000.0,4.0,0.0,honda,fwd,silver,9975.0,0.0
2016.0,61649.0,6.0,0.0,,4wd,white,,0.0
2020.0,48628.0,8.0,0.0,toyota,4wd,white,,0.0
2020.0,62128.0,6.0,0.0,toyota,4wd,black,,0.0
2015.0,86360.0,12.0,0.0,,rwd,black,40999.0,0.0
2019.0,22762.0,6.0,0.0,lexus,fwd,blue,,0.0
2006.0,90900.0,10.0,0.0,ford,4wd,white,22990.0,0.0
2011.0,138466.0,,0.0,jeep,,blue,,0.0
2021.0,10421.0,4.0,0.0,,rwd,black,,0.0
